Date,Portfolio,Market_Excess,SMB,HML,RMW,CMA,RF
2013-01-03,-0.0050657061564524,-0.0014,0.0014,0.0004,0.002,0.0023,2.5e-05
2013-01-04,0.0040237901380193,0.0055,0.0019,0.0043,-0.0037,0.0027,2.5e-05
2013-01-07,0.0044209365232277,-0.0031,-0.0009,-0.0037,-0.0013,-0.0012,2.5e-05
2013-01-08,-0.0046591851333312,-0.0027,0.0004,-0.0007,-0.0012,0.0009,2.5e-05
2013-01-09,0.0046363547269766,0.0034,0.0024,-0.0041,-0.0007,-0.0015,2.5e-05
2013-01-10,0.0077091504546488,0.0066,-0.0059,0.0051,-0.0015,0.0003,2.5e-05
2013-01-11,0.0037771333970563,0.0002,0.0004,-0.0045,0.0019,-0.0021,2.5e-05
2013-01-14,-0.0056277069736642,-0.0006,0.0003,-0.0008,-0.0008,0.0037,2.5e-05
2013-01-15,-0.0052159156314454,0.0019,0.0028,0.0,-0.0005,0.0006,2.5e-05
2013-01-16,0.0010910709060529,-0.0004,-0.0023,0.0023,-0.0006,-0.0003,2.5e-05
2013-01-17,0.0030753373145184,0.0061,0.0039,-0.0009,0.0015,-0.0002,2.5e-05
2013-01-18,0.0042651569021009,0.0029,0.0003,-0.0011,0.0018,0.0027,2.5e-05
2013-01-22,0.0038049943744277,0.0048,0.0022,0.0046,-0.0014,0.0011,2.5e-05
2013-01-23,0.0028307011053415,0.001,-0.0034,-0.0012,-0.0017,-0.0016,2.5e-05
2013-01-24,-0.0085211523861974,0.0009,0.0033,0.0005,-0.0002,0.0053,2.5e-05
2013-01-25,0.0100088941010479,0.0059,-0.0006,-0.0028,-0.0014,-0.0016,2.5e-05
2013-01-28,0.0017777646854202,-0.0014,0.0035,0.0012,0.0002,-0.0005,2.5e-05
2013-01-29,-0.0046625690794347,0.0036,-0.0044,0.0036,-0.001,0.003,2.5e-05
2013-01-30,0.0021881628108928,-0.0038,-0.0089,0.0012,-0.0007,0.0,2.5e-05
2013-01-31,-0.0058564523338036,-0.0008,0.0072,0.0019,-0.0021,0.001,2.5e-05
2013-02-01,0.0031559451213626,0.0099,0.0008,0.0026,-0.0027,-0.0005,2.5e-05
2013-02-04,-0.016873212537926,-0.0119,-0.001,-0.0015,0.0001,0.0002,2.5e-05
2013-02-05,0.0148603279009712,0.0107,-0.0005,0.0018,-0.0002,-0.0011,2.5e-05
2013-02-06,-0.0006220338000658,0.0015,0.003,0.0012,-0.0016,0.0004,2.5e-05
2013-02-07,0.001965953956829,-0.0015,-0.0008,0.0002,0.0017,-0.0004,2.5e-05
2013-02-08,0.0051457851728976,0.0058,0.0003,-0.0021,0.001,-0.0045,2.5e-05
2013-02-11,-0.001552270613649,-0.0008,-0.0003,0.0039,-0.0019,0.0028,2.5e-05
2013-02-12,-0.0018533044782183,0.0016,0.0026,0.0071,-0.0052,0.0045,2.5e-05
2013-02-13,0.0096467170017766,0.0014,0.0008,-0.0002,-0.0005,-0.0006,2.5e-05
2013-02-14,0.0031458311315664,0.0011,0.0032,0.001,-0.0027,-0.002,2.5e-05
2013-02-15,-0.0048690841595943,-0.0011,0.0,-0.001,-0.0004,0.0013,2.5e-05
2013-02-19,0.0122240677292649,0.0074,0.0025,0.0017,-0.0008,0.0034,2.5e-05
2013-02-20,-0.011568767856052,-0.0136,-0.0061,-0.0064,0.0027,0.0011,2.5e-05
2013-02-21,-0.007921036408382,-0.0066,-0.0031,-0.0006,0.0009,0.0025,2.5e-05
2013-02-22,0.0051217310096088,0.0094,0.0017,-0.0006,-0.0009,-0.0013,2.5e-05
2013-02-25,-0.015174522401209,-0.0182,-0.0026,-0.0072,0.0065,-0.0039,2.5e-05
2013-02-26,0.0049933385347067,0.0058,-0.0019,0.0002,-0.0002,0.0022,2.5e-05
2013-02-27,0.0089621104588878,0.0129,-0.0032,0.0016,-0.0021,0.0003,2.5e-05
2013-02-28,-0.0004501449455317,-0.0005,0.001,-0.0016,0.0,0.0,2.5e-05
2013-03-01,0.0014828872135623,0.0022,0.0011,-0.0033,-0.0012,0.0,2.5e-05
2013-03-04,0.0025687623321355,0.0047,-0.0041,0.001,-0.0039,0.0043,2.5e-05
2013-03-05,0.0089619644954544,0.01,0.002,-0.0017,0.0009,0.0,2.5e-05
2013-03-06,-0.0032398631782233,0.0018,0.0015,0.0047,-0.0019,0.0013,2.5e-05
2013-03-07,0.0072405587218979,0.0027,0.0022,0.0042,-0.0015,-0.0002,2.5e-05
2013-03-08,-0.0012246965631332,0.0052,0.0038,-0.0015,-0.0002,0.0003,2.5e-05
2013-03-11,0.000855587410599,0.003,-0.0028,0.0023,0.0005,0.0002,2.5e-05
2013-03-12,-0.0031699693111342,-0.0022,0.0004,-0.0013,0.0029,0.0007,2.5e-05
2013-03-13,-0.0027202045425997,0.002,0.0023,0.0008,0.0012,0.0027,2.5e-05
2013-03-14,0.0030910105066205,0.0058,0.0041,0.0039,-0.0003,-0.0001,2.5e-05
2013-03-15,-0.0058157934275922,-0.0019,0.0013,0.0043,0.0025,0.0,2.5e-05
2013-03-18,-0.0032434808102827,-0.005,0.001,-0.0023,0.0038,-0.0004,2.5e-05
2013-03-19,-0.0009287575319831,-0.0024,-0.0006,0.0003,0.0009,0.0037,2.5e-05
2013-03-20,-0.0010137552728355,0.0076,0.0022,0.0,-0.0029,0.0021,2.5e-05
2013-03-21,-0.0067214117838509,-0.0085,0.0013,-0.0028,0.0001,0.0007,2.5e-05
2013-03-22,0.0093434813510579,0.0062,-0.0052,-0.003,0.0011,-0.0015,2.5e-05
2013-03-25,-0.0050409386393122,-0.0029,0.003,0.0002,0.0014,-0.0003,2.5e-05
2013-03-26,0.0054174664260639,0.0076,-0.0039,-0.0022,0.0007,-0.0004,2.5e-05
2013-03-27,0.0033395550632057,-0.0002,0.0012,-0.003,0.001,-0.001,2.5e-05
2013-03-28,-0.0036822780837781,0.0039,-0.0032,-0.003,-0.0025,0.0009,2.5e-05
2013-04-01,-0.0019744278600426,-0.0057,-0.0092,0.0003,0.0006,0.0026,2.5e-05
2013-04-02,0.0052630799270582,0.0033,-0.009,-0.0032,-0.0004,0.0003,2.5e-05
2013-04-03,-0.0052629464727751,-0.0116,-0.0042,-0.0019,0.005,-0.0012,2.5e-05
2013-04-04,0.006594268277215,0.0042,0.0025,0.0025,-0.0009,0.0027,2.5e-05
2013-04-05,-0.0018726871884018,-0.0041,0.0009,0.0035,-0.001,0.0024,2.5e-05
2013-04-08,0.0005340139874322,0.007,0.0011,0.0028,-0.0031,0.0011,2.5e-05
2013-04-09,0.0051572192442157,0.0031,-0.0041,0.0019,-0.0001,-0.0039,2.5e-05
2013-04-10,0.0160316193089268,0.0128,0.0061,-0.001,-0.001,-0.0007,2.5e-05
2013-04-11,0.0009947158278966,0.0035,-0.0017,-0.0015,0.0007,0.0048,2.5e-05
2013-04-12,-0.0038135655781164,-0.0028,-0.0018,-0.0046,0.0,0.0007,2.5e-05
2013-04-15,-0.020498100344709,-0.0248,-0.0149,-0.0028,0.0004,-0.0005,2.5e-05
2013-04-16,0.0115569505153208,0.0147,0.0015,0.0007,-0.0037,-0.0006,2.5e-05
2013-04-17,-0.015926457425467,-0.0146,-0.0035,-0.0055,0.0012,0.0028,2.5e-05
2013-04-18,-0.0115271235704991,-0.0071,0.002,0.0002,0.0058,0.001,2.5e-05
2013-04-19,0.0052106424689298,0.0097,0.0003,0.0012,-0.0038,0.0019,2.5e-05
2013-04-22,0.0094926342547989,0.0045,-0.0018,-0.0014,0.0031,-0.0029,2.5e-05
2013-04-23,0.0093662061530105,0.0111,0.0053,0.0063,-0.005,0.0025,2.5e-05
2013-04-24,0.0013805161743286,0.0006,0.0051,0.0121,-0.0003,-0.0027,2.5e-05
2013-04-25,0.0047158045314677,0.0049,0.0023,0.0001,-0.0005,-0.0007,2.5e-05
2013-04-26,-0.0030391897626408,-0.002,-0.0035,-0.0022,0.001,0.0009,2.5e-05
2013-04-29,0.0066707372894614,0.0067,0.001,-0.0008,0.0021,-0.0032,2.5e-05
2013-04-30,0.0113130330515959,0.0029,0.0036,-0.0005,0.0019,-0.0029,2.5e-05
2013-05-01,-0.0117744069371625,-0.0108,-0.0146,-0.0027,-0.0007,-0.0011,2.5e-05
2013-05-02,0.0149053469459366,0.0104,0.0055,0.0013,-0.0047,-0.0025,2.5e-05
2013-05-03,0.004033924606878,0.0112,0.006,0.0016,-0.0017,-0.0026,2.5e-05
2013-05-06,-0.0003606421605132,0.0023,0.0029,0.0084,-0.005,0.0007,2.5e-05
2013-05-07,0.0019985905192478,0.0054,0.002,0.0014,0.0025,0.0029,2.5e-05
2013-05-08,0.0060635264106338,0.0044,-0.0017,0.0014,0.0005,-0.0014,2.5e-05
2013-05-09,-0.0018565390964144,-0.0031,0.0007,-0.0029,0.0003,-0.0017,2.5e-05
2013-05-10,-0.0006166267422505,0.0054,0.0041,-0.002,-0.0025,-0.0002,2.5e-05
2013-05-13,0.0029090805340999,-0.0002,-0.0026,-0.0005,-0.0043,0.0007,2.5e-05
2013-05-14,0.0078714275444768,0.011,0.0017,0.003,-0.0025,0.0017,2.5e-05
2013-05-15,-0.0004363605131792,0.0051,-0.0012,0.0027,-0.0008,0.0031,2.5e-05
2013-05-16,-0.0022009257834548,-0.005,0.0017,-0.0027,0.0015,-0.0036,2.5e-05
2013-05-17,0.0112765645113171,0.0104,0.0008,0.0038,0.0006,-0.0016,2.5e-05
2013-05-20,0.0008067270302364,-0.0006,0.0044,0.0049,0.0032,-0.0021,2.5e-05
2013-05-21,0.0007386213281093,0.0016,-0.0007,-0.0008,0.002,0.0021,2.5e-05
2013-05-22,-0.0045797340805054,-0.0092,-0.0073,-0.0017,0.0022,0.0034,2.5e-05
2013-05-23,-0.0045857533857701,-0.0019,0.0049,-0.001,0.0002,0.0008,2.5e-05
2013-05-24,-0.0029502587657533,-0.0006,0.0015,0.0005,-0.0006,0.0,2.5e-05
2013-05-28,0.0054983399595817,0.0077,0.0068,0.0022,-0.0016,-0.0018,2.5e-05
2013-05-29,-0.0072334074057369,-0.007,-0.0025,0.0058,-0.0023,-0.0029,2.5e-05
2013-05-30,0.0094651205782561,0.005,0.0037,0.0048,-0.005,0.0001,2.5e-05
2013-05-31,-0.0100513103775723,-0.0131,0.0048,-0.0024,0.0018,-0.0013,2.5e-05
2013-06-03,0.002692874009196,0.0048,0.0017,-0.0011,0.0026,-0.0006,2.5e-05
2013-06-04,-0.0047861316032373,-0.0055,-0.0026,-0.0016,0.0036,-0.0003,2.5e-05
2013-06-05,-0.0109202992096559,-0.0138,0.0003,-0.0026,0.0012,-0.0015,2.5e-05
2013-06-06,0.004287467447822,0.0089,0.0019,0.0026,-0.0046,0.0035,2.5e-05
2013-06-07,0.0132613202733145,0.013,-0.0045,0.0007,-0.0024,-0.0006,2.5e-05
2013-06-10,0.006694070817861,0.0007,0.0066,0.0021,-0.0025,-0.0011,2.5e-05
2013-06-11,-0.0109715304575058,-0.0104,-0.0002,-0.0058,0.0039,0.0001,2.5e-05
2013-06-12,-0.0069097803993505,-0.0082,0.0004,0.0003,0.0017,0.0015,2.5e-05
2013-06-13,0.0101400956584097,0.0147,0.0014,0.0031,-0.0018,0.0028,2.5e-05
2013-06-14,-0.0087138769946391,-0.0059,-0.0028,-0.0056,0.002,-0.0003,2.5e-05
2013-06-17,0.0102317157466686,0.0074,-0.0009,0.0002,-0.0023,-0.0039,2.5e-05
2013-06-18,0.0081199998341323,0.008,0.0036,-0.0006,-0.0002,0.0003,2.5e-05
2013-06-19,-0.0130847514007154,-0.0128,0.0021,0.0011,-0.0004,-0.0029,2.5e-05
2013-06-20,-0.0218038836653604,-0.0245,0.0002,0.0034,0.0006,-0.0013,2.5e-05
2013-06-21,0.0024056084549088,0.0013,0.0018,-0.0008,-0.0023,0.001,2.5e-05
2013-06-24,-0.0088926051687401,-0.0119,0.0,-0.0066,0.0018,-0.0014,2.5e-05
2013-06-25,0.0089107988266461,0.0096,0.0007,0.0086,-0.003,0.003,2.5e-05
2013-06-26,0.0083271687251903,0.0092,-0.0072,-0.0013,0.0004,0.0018,2.5e-05
2013-06-27,0.0045603204188077,0.0077,0.0085,0.0036,-0.0043,0.0024,2.5e-05
2013-06-28,-0.0012293051992875,-0.0033,0.0031,-0.0014,0.0021,-0.0032,2.5e-05
2013-07-01,0.0051371314036705,0.0071,0.0073,-0.0014,-0.0035,0.0,2.5e-05
2013-07-02,0.0004513167916154,-0.001,0.0003,0.0009,0.0006,-0.0009,2.5e-05
2013-07-03,0.0020583422124116,0.0011,0.0016,-0.0021,0.0017,-0.0006,2.5e-05
2013-07-05,0.007103035770333,0.0111,0.0041,0.0045,-0.0035,0.0014,2.5e-05
2013-07-08,0.007346951962519,0.0053,-0.0014,0.0005,0.002,0.001,2.5e-05
2013-07-09,0.0093951720116447,0.0074,0.0005,0.0026,-0.0001,0.0003,2.5e-05
2013-07-10,0.0010841206600634,0.0006,0.0029,-0.0041,-0.0012,-0.001,2.5e-05
2013-07-11,0.0128288750394952,0.0132,-0.0018,-0.0062,-0.0008,-0.0016,2.5e-05
2013-07-12,0.002278480069791,0.0033,-0.0003,0.002,-0.0066,0.0005,2.5e-05
2013-07-15,0.0017837550929769,0.002,0.0055,0.0034,-0.0002,0.0007,2.5e-05
2013-07-16,0.0016960713215621,-0.0041,0.0004,0.0009,0.0016,0.0027,2.5e-05
2013-07-17,0.0016101070901763,0.003,-0.0004,0.0018,-0.0041,0.0004,2.5e-05
2013-07-18,-0.0010668717393506,0.0054,0.0014,0.0095,-0.0025,0.0021,2.5e-05
2013-07-19,-0.0068852668283904,0.0009,-0.0011,0.0028,-0.0032,0.0047,2.5e-05
2013-07-22,0.0029772615211589,0.0022,0.0011,0.0029,-0.0015,0.0009,2.5e-05
2013-07-23,-0.0022461628690994,-0.0015,0.0009,0.0028,-0.0006,0.0028,2.5e-05
2013-07-24,0.0049566149462686,-0.0039,-0.0029,-0.0026,0.0064,-0.0008,2.5e-05
2013-07-25,0.0325491642034994,0.0042,0.0047,-0.0035,-0.005,-0.0027,2.5e-05
2013-07-26,0.0029415794548704,0.0002,-0.0065,-0.0021,0.0017,-0.002,2.5e-05
2013-07-29,0.0029697888158833,-0.0037,-0.0033,-0.0028,0.0031,-0.0016,2.5e-05
2013-07-30,0.0055283744514418,0.0012,0.0017,-0.0051,0.001,-0.0009,2.5e-05
2013-07-31,-0.0029605491303305,0.0009,0.002,0.0009,0.0002,-0.0006,2.5e-05
2013-08-01,0.0073980202710824,0.014,0.0008,0.0005,-0.0024,-0.0016,2.5e-05
2013-08-02,0.0035811266821468,0.002,-0.0024,-0.0033,-0.0003,-0.0006,2.5e-05
2013-08-05,0.0001337339752685,-0.0007,0.005,-0.0017,-0.0002,-0.0009,2.5e-05
2013-08-06,-0.0062031319010657,-0.0068,-0.0035,-0.001,0.0038,-0.0005,2.5e-05
2013-08-07,0.0008935879055828,-0.0042,-0.0036,0.0002,0.0027,0.0006,2.5e-05
2013-08-08,0.0040774400273772,0.0047,-0.0001,-0.0001,-0.0003,0.0016,2.5e-05
2013-08-09,-0.0059943220152596,-0.0029,0.0013,-0.002,0.0019,-0.0018,2.5e-05
2013-08-12,0.000861784317154,-0.0002,0.0056,-0.0022,0.0017,-0.0008,2.5e-05
2013-08-13,-0.0005545453376609,0.002,-0.0028,-0.0005,0.0006,-0.0011,2.5e-05
2013-08-14,-0.0037064011290665,-0.005,0.0015,0.0028,-0.0003,0.0002,2.5e-05
2013-08-15,-0.0100106045538054,-0.0147,-0.0037,0.0029,-0.0002,0.0002,2.5e-05
2013-08-16,0.0006418653023194,-0.0026,0.0005,0.0009,-0.0017,-0.0013,2.5e-05
2013-08-19,-0.0024403135267163,-0.0062,-0.0026,-0.0075,0.006,-0.0033,2.5e-05
2013-08-20,0.0009886892611428,0.0053,0.0086,0.0013,-0.003,0.0009,2.5e-05
2013-08-21,-0.0055002211271456,-0.0059,-0.0007,-0.0046,-0.0009,-0.0031,2.5e-05
2013-08-22,0.0087769792822237,0.0093,0.005,0.0005,-0.0033,-0.0019,2.5e-05
2013-08-23,0.0170345871072582,0.0038,-0.0026,-0.0014,0.0012,-0.0025,2.5e-05
2013-08-26,-0.0058506582204734,-0.0029,0.0047,-0.005,-0.0013,-0.0025,2.5e-05
2013-08-27,-0.0197869227485619,-0.0175,-0.0074,-0.0032,0.007,0.0004,2.5e-05
2013-08-28,0.005269874266237,0.003,0.0011,0.0008,-0.0005,-0.0009,2.5e-05
2013-08-29,0.0030638035650164,0.0034,0.0074,-0.0041,-0.0034,-0.0024,2.5e-05
2013-08-30,-0.0026353848180298,-0.0047,-0.0114,-0.0022,0.0003,-0.001,2.5e-05
2013-09-03,-0.0008329921841081,0.0046,0.0006,0.001,-0.005,-0.0023,2.5e-05
2013-09-04,0.0064859501308636,0.0083,-0.0001,-0.0015,-0.0017,0.0009,2.5e-05
2013-09-05,0.0006680247001527,0.0019,0.002,0.0037,-0.0021,-0.0008,2.5e-05
2013-09-06,0.0056208064211641,0.0001,0.0001,0.0,-0.0017,-0.0009,2.5e-05
2013-09-09,0.0092507994119553,0.0109,0.0043,-0.0022,-0.0019,-0.0014,2.5e-05
2013-09-10,0.0052211668649364,0.008,0.0006,0.0022,-0.0012,0.0005,2.5e-05
2013-09-11,0.000899108381501,0.0028,-0.0024,0.0001,0.0022,0.0015,2.5e-05
2013-09-12,-0.0032346537261057,-0.0032,-0.0029,-0.0034,0.0015,-0.0015,2.5e-05
2013-09-13,-0.0019119180369526,0.0029,0.0027,-0.0001,0.002,0.0024,2.5e-05
2013-09-16,-0.0049435318789683,0.0049,-0.0038,0.004,0.0,0.0039,2.5e-05
2013-09-17,0.0137355516644042,0.0054,0.0042,-0.0013,-0.0036,-0.0021,2.5e-05
2013-09-18,0.0118981057014134,0.011,-0.0023,-0.0045,0.0005,-0.0018,2.5e-05
2013-09-19,0.0018039310304991,-0.0013,0.001,-0.006,0.0012,-0.0029,2.5e-05
2013-09-20,-0.0035725610230449,-0.0063,0.0051,0.0018,-0.0009,-0.0017,2.5e-05
2013-09-23,-0.0007860178585322,-0.0045,0.0042,-0.0037,0.0063,-0.0023,2.5e-05
2013-09-24,-0.0017038306764341,-0.0012,0.0049,0.0001,-0.0016,0.0,2.5e-05
2013-09-25,0.0010684731244982,-0.0023,0.0011,0.0058,-0.0041,0.0002,2.5e-05
2013-09-26,0.0069894120044775,0.0042,0.0015,-0.0073,0.0019,-0.0032,2.5e-05
2013-09-27,0.0004104233092626,-0.0039,-0.0001,-0.0006,0.0007,-0.0012,2.5e-05
2013-09-30,-0.0083057204944034,-0.0049,0.0051,0.0006,0.0017,0.0004,2.5e-05
2013-10-01,0.0106070643041529,0.009,0.0038,-0.0013,-0.0008,-0.0022,2.5e-05
2013-10-02,0.0023458865803064,-0.001,-0.0033,-0.0008,-0.0009,-0.0008,2.5e-05
2013-10-03,-0.0100213774321441,-0.0088,-0.0017,0.002,0.0005,0.0023,2.5e-05
2013-10-04,0.009388259300203,0.0074,-0.0001,0.001,-0.0027,-0.0014,2.5e-05
2013-10-07,-0.0080003964584584,-0.0095,-0.0029,0.0,0.0012,0.0019,2.5e-05
2013-10-08,-0.0189201788339576,-0.0135,-0.004,0.0076,0.0061,0.0054,2.5e-05
2013-10-09,0.0002187979139297,-0.0005,-0.0036,0.0062,0.0039,0.0034,2.5e-05
2013-10-10,0.0229152755830089,0.0223,0.0019,-0.0002,-0.0034,-0.0028,2.5e-05
2013-10-11,0.0082734180859845,0.0071,0.0076,0.0,0.0008,-0.001,2.5e-05
2013-10-14,0.0032949791546634,0.0044,0.0021,-0.0011,0.0009,-0.0014,2.5e-05
2013-10-15,-0.0041034293828415,-0.0073,-0.0018,0.0001,0.0025,-0.0014,2.5e-05
2013-10-16,0.0142984749489082,0.0137,-0.003,0.0014,-0.0055,-0.001,2.5e-05
2013-10-17,0.0080112389007465,0.007,0.0012,0.0004,-0.0014,0.0007,2.5e-05
2013-10-18,0.0161924209367708,0.0073,0.0027,-0.0005,-0.0007,-0.0049,2.5e-05
2013-10-21,0.0047539283410203,-0.0002,-0.0011,0.0005,0.005,0.0003,2.5e-05
2013-10-22,-0.0013980541982691,0.005,-0.0029,0.0009,0.0022,0.0035,2.5e-05
2013-10-23,-0.008914996098368,-0.0051,0.0016,-0.0033,0.0059,0.0021,2.5e-05
2013-10-24,0.0041206878876749,0.0042,0.0035,-0.003,0.0,-0.0016,2.5e-05
2013-10-25,0.0160250513122148,0.0033,-0.0034,0.0014,0.0016,0.0004,2.5e-05
2013-10-28,-0.0023450294437732,0.0009,-0.0007,0.0002,0.0032,0.0017,2.5e-05
2013-10-29,0.0012349330815053,0.0054,-0.0014,-0.0011,0.0013,0.0029,2.5e-05
2013-10-30,0.0002630508054686,-0.0061,-0.0075,0.0049,0.0047,0.0006,2.5e-05
2013-10-31,0.0001619161395897,-0.0034,-0.0011,-0.0043,0.0035,0.0015,2.5e-05
2013-11-01,0.0023297163054545,0.002,-0.0065,0.0022,0.002,0.0029,2.5e-05
2013-11-04,0.0008250418112796,0.0047,0.0075,-0.0003,0.0008,-0.0004,2.5e-05
2013-11-05,0.002857315383587,-0.0023,-0.0001,-0.0025,0.0021,-0.001,2.5e-05
2013-11-06,0.0103506810964314,0.0027,-0.0081,0.0039,0.0029,0.0017,2.5e-05
2013-11-07,-0.0168178273091633,-0.0146,-0.0033,0.0018,0.0014,0.0031,2.5e-05
2013-11-08,0.0142917167809949,0.0145,0.0059,0.0041,-0.0053,-0.0006,2.5e-05
2013-11-11,-0.0024585285468728,0.0012,0.0005,-0.0013,-0.0002,-0.0003,2.5e-05
2013-11-12,-0.0018741954939638,-0.0019,0.0034,-0.007,0.0058,0.0014,2.5e-05
2013-11-13,0.0097321202653136,0.009,0.0006,-0.0012,-0.0041,-0.0021,2.5e-05
2013-11-14,0.006935741808265,0.0043,-0.0057,0.0031,-0.0005,0.0002,2.5e-05
2013-11-15,0.0050648860888478,0.0043,0.0006,-0.0027,0.0005,-0.0004,2.5e-05
2013-11-18,-0.0088540932000325,-0.005,-0.0038,0.0045,0.0044,0.0029,2.5e-05
2013-11-19,0.0016052115459508,-0.0027,-0.003,0.0026,0.0004,0.0,2.5e-05
2013-11-20,-0.0024026427330933,-0.0033,0.0026,0.0003,0.0,-0.0003,2.5e-05
2013-11-21,0.006644137996707,0.0097,0.0081,-0.0006,-0.0045,-0.0031,2.5e-05
2013-11-22,0.002877754019132,0.005,-0.0009,0.0011,-0.0008,-0.0004,2.5e-05
2013-11-25,-0.0017361034380203,-0.0011,0.0017,0.0014,0.0004,0.0025,2.5e-05
2013-11-26,0.0026207373868851,0.0018,0.008,-0.0048,-0.0033,-0.0039,2.5e-05
2013-11-27,0.0069406021034892,0.003,0.0034,-0.0006,0.001,0.0002,2.5e-05
2013-11-29,0.0042643518504767,-0.0002,0.0026,-0.0017,0.0,-0.0018,2.5e-05
2013-12-02,-0.0024474573130809,-0.0031,-0.0093,0.0016,-0.0004,0.0001,2.5e-05
2013-12-03,-0.0004799047116143,-0.0034,-0.0012,-0.0009,0.0018,-0.0003,2.5e-05
2013-12-04,0.0068969271139463,-0.0007,-0.0022,0.0026,-0.0041,-0.0015,2.5e-05
2013-12-05,-0.0091700331334422,-0.0035,0.006,-0.0063,0.0002,-0.0043,2.5e-05
2013-12-06,0.0062978753047707,0.0102,-0.0028,0.002,-0.0003,0.0045,2.5e-05
2013-12-09,0.0064385969827306,0.0017,-0.0041,0.0,-0.0003,0.0003,2.5e-05
2013-12-10,0.000883933484917,-0.0034,-0.0053,0.002,-0.0002,-0.0006,2.5e-05
2013-12-11,-0.0136861120739672,-0.0116,-0.0035,0.0005,0.0053,0.0011,2.5e-05
2013-12-12,0.0030067446623781,-0.0023,0.0039,0.0025,-0.0028,-0.0007,2.5e-05
2013-12-13,0.0022941561562123,0.001,0.0023,-0.0001,-0.0028,0.0019,2.5e-05
2013-12-16,0.007919575905984,0.0067,0.0057,-0.0014,0.0011,-0.0003,2.5e-05
2013-12-17,-0.0033728654081586,-0.0026,0.0015,-0.0016,-0.0012,-0.0014,2.5e-05
2013-12-18,0.0151211669544126,0.0155,-0.0043,0.0003,-0.0005,0.0031,2.5e-05
2013-12-19,-0.0037074776562567,-0.001,-0.005,0.0016,-0.0002,0.0009,2.5e-05
2013-12-20,0.0046147756314821,0.0069,0.0125,-0.003,-0.0024,-0.0041,2.5e-05
2013-12-23,0.0114632987295348,0.0062,0.0048,-0.0005,-0.002,-0.0015,2.5e-05
2013-12-24,0.0028040954811512,0.0034,0.0011,0.0011,-0.0003,0.0015,2.5e-05
2013-12-26,0.0052627622339969,0.0044,-0.0034,-0.0031,0.0019,0.0007,2.5e-05
2013-12-27,-0.0069449052024216,-0.0005,-0.0002,0.0023,0.0009,0.0024,2.5e-05
2013-12-30,-0.0073208489374321,0.0,0.0003,-0.003,0.0014,0.0008,2.5e-05
2013-12-31,0.0067143135230529,0.0044,-0.0016,0.0004,-0.0003,-0.0021,2.5e-05
2014-01-02,-0.0072371053879615,-0.0088,-0.0025,0.0011,-0.0031,0.0012,2.5e-05
2014-01-03,-0.0028851854734193,0.0003,0.0041,0.0005,-0.0035,0.0014,2.5e-05
2014-01-06,0.0038600931613087,-0.0034,-0.0055,0.0026,-0.0035,0.0006,2.5e-05
2014-01-07,0.0054476360033529,0.0068,0.0033,-0.0041,-0.0004,-0.0029,2.5e-05
2014-01-08,-0.0001985439470877,0.0004,0.0001,-0.0011,-0.005,-0.0005,2.5e-05
2014-01-09,-0.0071588926349697,0.0002,0.0016,-0.0038,-0.0057,-0.0041,2.5e-05
2014-01-10,0.0008746855533652,0.0027,0.0045,-0.0077,-0.0029,-0.0031,2.5e-05
2014-01-13,-0.0144109074715699,-0.0132,-0.001,0.001,-0.0009,0.0047,2.5e-05
2014-01-14,0.0128296837809539,0.0115,0.0013,-0.0038,-0.0011,-0.0035,2.5e-05
2014-01-15,0.0101713641836994,0.0053,0.0021,0.0021,-0.0038,0.0,2.5e-05
2014-01-16,-0.0019889836281797,-0.0007,0.0023,-0.0068,-0.0002,-0.0027,2.5e-05
2014-01-17,-0.0092187760068467,-0.0039,0.0002,0.0004,-0.0021,0.0003,2.5e-05
2014-01-21,0.0040454387072878,0.003,0.0042,-0.0001,-0.0025,-0.0035,2.5e-05
2014-01-22,-0.0063213629272147,0.0015,0.0029,0.0021,-0.0017,-0.0017,2.5e-05
2014-01-23,-0.0058888721898608,-0.0086,0.001,-0.005,0.0028,-0.0009,2.5e-05
